Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,price
220.0,5.0,3.0,1,11.0,3,1.0,3.65
90.0,2.0,3.0,2,0.0,3,0.0,2.25
80.0,2.0,1.0,1,3.0,4,1.0,2.15
115.0,3.0,1.0,1,21.0,7,0.0,1.5
110.0,3.0,3.0,2,0.0,3,0.0,3.25
110.0,3.0,2.0,1,0.0,4,0.0,3.3
200.0,6.0,4.0,2,0.0,4,0.0,3.55
130.0,3.0,3.0,1,0.0,4,0.0,4.3
60.0,1.0,2.0,1,4.0,4,0.0,1.695
95.0,2.0,2.0,1,0.0,4,0.0,2.65
120.0,3.0,4.0,2,0.0,4,0.0,2.65
125.0,3.0,3.0,1,0.0,3,0.0,2.95
90.0,2.0,2.0,1,0.0,3,0.0,2.15
90.0,2.0,2.0,1,21.0,5,1.0,1.59
140.0,3.0,1.0,2,11.0,3,0.0,4.84
120.0,2.0,2.0,1,21.0,1,0.0,2.865
80.0,2.0,2.0,1,5.0,3,0.0,2.3
38.0,1.0,2.0,1,0.0,3,0.0,1.4
70.0,2.0,1.0,1,0.0,3,0.0,2.7
80.0,2.0,3.0,1,11.0,5,0.0,2.85
80.0,2.0,3.0,1,21.0,3,0.0,1.365
110.0,3.0,3.0,1,0.0,4,1.0,2.85
75.0,2.0,3.0,1,21.0,4,0.0,1.3
145.0,3.0,1.0,2,5.0,3,1.0,7.0
110.0,3.0,3.0,2,4.0,4,0.0,2.62
120.0,3.0,1.0,1,11.0,7,0.0,2.25
95.0,2.0,2.0,1,4.0,3,0.0,3.3
90.0,2.0,2.0,1,21.0,1,0.0,1.575
70.0,2.0,2.0,1,0.0,4,0.0,2.3
144.0,4.0,2.0,2,16.0,2,0.0,4.5
110.0,2.0,4.0,1,5.0,5,1.0,2.45
125.0,3.0,1.0,2,0.0,4,0.0,3.5
90.0,2.0,2.0,1,0.0,4,1.0,2.75
108.0,3.0,2.0,1,5.0,3,0.0,3.6
69.0,1.0,2.0,2,5.0,1,0.0,2.77
70.0,2.0,2.0,1,2.0,4,1.0,4.5
47.0,1.0,2.0,1,5.0,5,0.0,1.375
162.0,4.0,2.0,3,0.0,4,1.0,7.0
127.0,3.0,4.0,1,21.0,4,0.0,2.2
120.0,3.0,3.0,1,11.0,3,0.0,1.7
80.0,2.0,1.0,1,21.0,6,0.0,2.375
116.0,3.0,2.0,1,5.0,4,1.0,3.425
90.0,2.0,1.0,3,0.0,4,0.0,1.75
95.0,2.0,2.0,1,0.0,3,0.0,2.1
100.0,2.0,2.0,1,11.0,4,0.0,2.0
120.0,3.0,1.0,1,21.0,4,0.0,2.0
165.0,4.0,2.0,3,0.0,5,0.0,3.25
85.0,2.0,3.0,1,21.0,3,1.0,1.6
125.0,3.0,2.0,2,5.0,4,0.0,2.45
90.0,4.0,2.0,2,21.0,2,0.0,6.0
100.0,3.0,3.0,1,21.0,3,0.0,2.075
115.0,3.0,2.0,1,0.0,3,0.0,2.55
125.0,3.0,4.0,1,0.0,4,0.0,2.8
135.0,3.0,1.0,2,0.0,4,0.0,4.2
30.0,1.0,2.0,1,0.0,2,0.0,0.36
100.0,3.0,6.0,1,21.0,12,0.0,2.225
120.0,3.0,2.0,2,0.0,3,0.0,2.8
150.0,3.0,2.0,2,5.0,3,1.0,3.15
115.0,2.0,2.0,1,5.0,3,0.0,2.99
135.0,2.0,2.0,2,5.0,3,0.0,2.6
85.0,2.0,2.0,1,5.0,4,0.0,2.125
80.0,2.0,2.0,1,0.0,4,1.0,2.3
140.0,3.0,2.0,2,0.0,3,0.0,4.25
130.0,2.0,4.0,2,0.0,5,0.0,2.69
150.0,4.0,1.0,2,0.0,4,0.0,3.9
100.0,2.0,2.0,1,5.0,4,1.0,2.55
95.0,3.0,2.0,1,21.0,6,0.0,2.35
200.0,5.0,2.0,3,2.0,3,0.0,6.4
130.0,3.0,2.0,2,5.0,3,0.0,3.19
100.0,3.0,2.0,1,0.0,3,0.0,2.575
115.0,3.0,1.0,2,3.0,4,1.0,5.25
130.0,3.0,2.0,2,0.0,4,1.0,4.75
165.0,3.0,2.0,3,16.0,5,1.0,7.25
80.0,2.0,2.0,1,4.0,1,0.0,4.75
85.0,2.0,4.0,1,0.0,5,0.0,2.95
67.0,2.0,3.0,1,2.0,3,0.0,1.95
220.0,4.0,2.0,3,0.0,2,0.0,6.45
160.0,3.0,1.0,1,0.0,3,0.0,2.798
95.0,2.0,1.0,1,0.0,3,0.0,2.3
90.0,2.0,1.0,1,0.0,3,0.0,2.2
95.0,2.0,1.0,1,0.0,3,0.0,2.4
95.0,2.0,2.0,1,4.0,3,0.0,1.885
110.0,3.0,1.0,1,0.0,3,0.0,2.8
118.0,3.0,5.0,1,21.0,7,0.0,3.2
145.0,4.0,2.0,2,0.0,2,0.0,5.915
155.0,3.0,2.0,1,2.0,3,0.0,3.1
180.0,5.0,3.0,2,0.0,3,0.0,4.2
70.0,2.0,2.0,1,5.0,5,0.0,2.05
112.0,3.0,2.0,2,0.0,3,0.0,3.25
98.0,2.0,2.0,2,0.0,3,0.0,6.15
58.0,1.0,1.0,1,0.0,3,1.0,3.0
