Net Metrekare,Binanın Kat Sayısı,Site İçerisinde,price,rooms,floor,bathroom,age
220.0,3,1,3650000,0,0,0,0
90.0,3,0,2250000,1,0,1,1
80.0,4,1,2150000,1,1,0,2
115.0,7,0,1500000,2,1,0,3
110.0,3,0,3250000,2,0,1,1
110.0,4,0,3300000,2,2,0,1
200.0,4,0,3550000,3,3,1,1
130.0,4,0,4300000,2,0,0,1
60.0,4,0,1695000,4,2,0,4
95.0,4,0,2650000,1,2,0,1
120.0,4,0,2650000,2,3,1,1
125.0,3,0,2950000,2,0,0,1
90.0,3,0,2150000,1,2,0,1
90.0,5,1,1590000,1,2,0,3
140.0,3,0,4840000,2,1,1,0
120.0,1,0,2865000,5,0,0,3
80.0,3,0,2300000,1,4,0,5
38.0,3,0,1400000,4,2,0,1
70.0,3,0,2700000,1,1,0,1
80.0,5,0,2850000,1,0,0,0
80.0,3,0,1365000,1,0,0,3
110.0,4,1,2850000,2,0,0,1
75.0,4,0,1300000,1,0,0,3
145.0,3,1,7000000,2,1,1,5
110.0,4,0,2620000,2,0,1,4
120.0,7,0,2250000,2,1,0,0
95.0,3,0,3300000,1,2,0,4
90.0,1,0,1575000,1,5,0,3
70.0,4,0,2300000,1,2,0,1
144.0,2,0,4500000,6,5,1,6
110.0,5,1,2450000,1,3,0,5
125.0,4,0,3500000,2,1,1,1
90.0,4,1,2750000,1,4,0,1
108.0,3,0,3600000,2,2,0,5
69.0,1,0,2770000,4,0,1,5
70.0,4,1,4500000,1,6,0,7
47.0,5,0,1375000,4,2,0,5
162.0,4,1,7000000,6,7,2,1
127.0,4,0,2200000,2,3,0,3
120.0,3,0,1700000,2,0,0,0
80.0,6,0,2375000,1,1,0,3
116.0,4,1,3425000,2,2,0,5
90.0,4,0,1750000,1,1,2,1
95.0,3,0,2100000,1,4,0,1
100.0,4,0,2000000,1,8,0,0
120.0,4,0,2000000,2,1,0,3
165.0,5,0,3250000,6,9,2,1
85.0,3,1,1600000,1,0,0,3
125.0,4,0,2450000,2,2,1,5
90.0,2,0,6000000,6,0,1,3
100.0,3,0,2075000,2,0,0,3
115.0,3,0,2550000,2,2,0,1
125.0,4,0,2800000,2,3,0,1
135.0,4,0,4200000,2,1,1,1
30.0,2,0,360000,4,0,0,1
100.0,12,0,2225000,2,10,0,3
120.0,3,0,2800000,2,4,1,1
150.0,3,1,3150000,2,8,1,5
115.0,3,0,2990000,1,2,0,5
135.0,3,0,2600000,1,4,1,5
85.0,4,0,2125000,1,2,0,5
80.0,4,1,2300000,1,2,0,1
140.0,3,0,4250000,2,2,1,1
130.0,5,0,2690000,1,3,1,1
150.0,4,0,3900000,6,1,1,1
100.0,4,1,2550000,1,2,0,5
95.0,6,0,2350000,2,4,0,3
200.0,3,0,6400000,0,0,2,7
130.0,3,0,3190000,2,2,1,5
100.0,3,0,2575000,2,2,0,1
115.0,4,1,5250000,2,1,1,2
130.0,4,1,4750000,2,11,1,1
165.0,5,1,7250000,2,2,2,6
80.0,1,0,4750000,1,5,0,4
85.0,5,0,2950000,1,3,0,1
67.0,3,0,1950000,1,0,0,7
220.0,2,0,6450000,6,2,2,1
160.0,3,0,2798000,2,1,0,1
95.0,3,0,2300000,1,1,0,1
90.0,3,0,2200000,1,1,0,1
95.0,3,0,2400000,1,1,0,1
95.0,3,0,1885000,1,2,0,4
110.0,3,0,2800000,2,1,0,1
118.0,7,0,3200000,2,12,0,3
145.0,2,0,5915000,6,6,1,1
155.0,3,0,3100000,2,8,0,7
180.0,3,0,4200000,0,0,1,1
70.0,5,0,2050000,1,2,0,5
112.0,3,0,3250000,2,2,1,1
98.0,3,0,6150000,1,6,1,1
58.0,3,1,3000000,4,1,0,1
75.0,3,0,1600000,1,0,0,6
103.0,3,0,6150000,1,8,0,1
178.0,3,0,4250000,6,8,1,1
101.0,5,1,3980000,2,12,1,1
135.0,3,0,2750000,2,8,0,5
85.0,4,0,2875000,1,0,0,5
65.0,4,0,1695000,4,0,0,1
80.0,5,0,2100000,1,2,0,1
85.0,4,0,2875000,1,0,0,5
55.0,5,0,840000,4,12,0,3
110.0,5,0,2980000,2,1,0,0
175.0,4,0,4555000,6,11,2,1
165.0,4,0,4355000,6,9,2,1
85.0,4,0,2549000,1,2,0,1
85.0,4,0,2550000,1,2,0,1
127.0,5,0,1840000,2,12,0,3
100.0,3,0,2250000,1,2,0,1
132.0,4,0,3750000,2,2,0,5
88.0,4,1,2550000,1,4,0,1
210.0,4,0,7000000,6,3,1,0
105.0,3,0,2675000,2,2,1,1
85.0,4,0,2650000,1,3,0,3
130.0,2,0,2260000,2,1,0,5
120.0,4,0,2520000,2,3,0,1
115.0,3,0,3800000,6,0,0,0
80.0,4,0,2850000,1,1,0,1
80.0,5,0,2250000,1,2,0,1
90.0,4,0,3600000,1,1,0,1
80.0,4,0,2750000,1,4,0,1
170.0,4,0,3200000,7,4,1,5
125.0,6,0,3000000,2,13,0,0
190.0,4,0,3790000,0,3,1,1
90.0,3,0,2630000,1,2,1,5
139.0,4,1,5900000,2,6,1,1
130.0,1,0,4500000,2,0,0,1
30.0,2,0,360000,4,0,0,1
175.0,4,1,10000000,6,0,1,2
148.0,5,0,5500000,2,0,1,5
120.0,3,0,2297000,2,8,0,5
90.0,3,0,2500000,1,4,0,4
142.0,9,1,2650000,2,12,0,0
60.0,4,0,2250000,1,2,0,5
65.0,5,0,1850000,1,13,0,2
100.0,5,0,2730000,2,9,0,0
75.0,5,0,1450000,1,13,1,0
220.0,4,0,5600000,6,0,1,5
85.0,4,1,2950000,1,0,0,2
120.0,3,0,2420000,2,1,0,1
178.0,1,1,25000000,6,0,2,2
75.0,5,0,1750000,1,4,0,5
115.0,3,1,2450000,2,0,0,5
85.0,3,1,2650000,1,4,0,1
180.0,4,1,4100000,2,0,1,7
80.0,4,0,1700000,1,2,0,0
140.0,4,0,1430000,6,3,1,3
80.0,4,0,1950000,1,13,0,3
100.0,4,1,2880000,1,13,0,5
115.0,3,0,2900000,2,0,1,1
118.0,7,0,2900000,2,4,0,3
95.0,4,0,2650000,1,0,0,1
50.0,3,0,1550000,4,1,0,5
90.0,3,0,2450000,1,0,0,1
90.0,3,0,2850000,1,2,0,1
225.0,3,0,8500000,0,0,2,0
150.0,4,0,3250000,8,9,0,5
90.0,5,0,2990000,1,2,0,1
160.0,3,1,5850000,2,0,1,4
120.0,2,0,3600000,2,8,1,1
170.0,5,0,5250000,6,12,0,1
95.0,3,0,2300000,1,2,0,1
170.0,5,0,5250000,6,12,0,1
140.0,3,1,3200000,2,8,1,7
83.0,4,0,600000,9,14,0,3
280.0,3,0,11000000,7,0,2,0
67.0,3,0,1990000,1,13,0,1
175.0,3,0,7125000,2,0,0,1
180.0,4,0,3500000,6,3,1,5
135.0,5,0,2850000,2,4,0,5
140.0,3,0,3100000,2,4,1,1
150.0,4,0,3500000,2,1,0,1
130.0,3,0,2690000,2,9,0,0
80.0,4,0,1670000,1,3,0,5
150.0,3,1,2800000,2,11,1,5
90.0,4,0,3100000,1,0,0,1
103.0,14,1,3250000,2,15,1,0
95.0,4,0,2490000,1,3,0,0
110.0,3,0,2525000,2,2,0,5
120.0,5,0,3150000,2,0,0,0
112.0,5,1,3100000,2,13,1,5
