Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,address,price,latitude,longitude
115.0,3+1,Yüksek Giriş,1,5-10,3,Hayır,Kocaeli - Gölcük - Karaköprü Mahallesi,2550000,40.7010052,29.8554841
100.0,2+1,1.Kat,2,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,3100000,40.7365963,30.0231861
140.0,3+1,Yüksek Giriş,1,5-10,3,Hayır,Kocaeli - Başiskele - Serdar Mahallesi,3950000,40.71265229999999,29.9408065
300.0,6+2,Unknown,3,4,2,Evet,Kocaeli - Başiskele - Yeşilyurt Mahallesi,32500000,40.7147344,29.9538172
120.0,3+1,2.Kat,2,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Ertuğrul Gazi Mahallesi,2985000,40.7548512,30.0361888
90.0,2+1,Yüksek Giriş,1,16-20,3,Hayır,Kocaeli - Gölcük - Şirinköy Mahallesi,1645000,40.6953781,29.8222085
180.0,5+1,5.Kat,1,3,5,Hayır,Kocaeli - Çayırova - Atatürk Mahallesi,3000000,40.8361956,29.3787483
80.0,2+1,3.Kat,1,4,3,Evet,Kocaeli - Kartepe - Ataevler Mahallesi,2225000,40.7438656,30.0463012
110.0,3+1,Bodrum Kat,1,5-10,5,Hayır,Kocaeli - Gebze - Tatlıkuyu Mahallesi,2280000,40.7921818,29.436795
135.0,3+1,3.Kat,2,0 (Yeni),3,Hayır,Kocaeli - Körfez - Esentepe Mahallesi,2825000,40.7653053,29.7961611
140.0,3.5+1,Bahçe Katı,2,5-10,3,Evet,Kocaeli - Başiskele - Yeşilyurt Mahallesi,10500000,40.7147344,29.9538172
179.0,3+1,Çatı Katı,1,0 (Yeni),3,Hayır,Kocaeli - Derince - İbnisina Mahallesi,3400000,40.7604584,29.8091854
110.0,2+1,3.Kat,1,11-15,3,Evet,Kocaeli - Körfez - Hacı Osman Mahallesi,2600000,40.77684319999999,29.7512903
110.0,2+1,4.Kat,1,4,5,Hayır,Kocaeli - Başiskele - Serdar Mahallesi,2370000,40.71265229999999,29.9408065
100.0,3+1,2.Kat,1,0 (Yeni),3,Hayır,Kocaeli - Darıca - Sırasöğütler Mahallesi,3450000,40.7896467,29.3918108
130.0,3+1,1.Kat,2,0 (Yeni),3,Hayır,Kocaeli - Başiskele - Yeşilyurt Mahallesi,4300000,40.7147344,29.9538172
155.0,4+1,Unknown,2,0 (Yeni),2,Hayır,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,7900000,40.7365963,30.0231861
139.0,1 Oda,Unknown,Yok,16-20,4,Hayır,Kocaeli - Gebze - İnönü Mahallesi,12000000,40.8184455,29.4382459
85.0,2+1,Yüksek Giriş,1,21 Ve Üzeri,4,Hayır,Kocaeli - Körfez - Mimar Sinan Mahallesi,1850000,40.7659429,29.7570809
77.0,2+1,3.Kat,1,11-15,6,Evet,Kocaeli - Başiskele - Havuzlubahçe Mahallesi,1850000,40.6726092,29.89019789999999
125.0,3+1,2.Kat,1,21 Ve Üzeri,3,Hayır,Kocaeli - Körfez - Mimar Sinan Mahallesi,3250000,40.7659429,29.7570809
100.0,2+1,2.Kat,1,4,3,Hayır,Kocaeli - Körfez - Atalar Mahallesi,2250000,40.7757606,29.7223337
270.0,5+2,2.Kat,3,11-15,4,Hayır,Kocaeli - Körfez - Hacı Osman Mahallesi,4945000,40.77684319999999,29.7512903
125.0,3+1,3.Kat,1,5-10,3,Hayır,Kocaeli - Körfez - Mimar Sinan Mahallesi,3100000,40.7659429,29.7570809
80.0,2+1,2.Kat,1,0 (Yeni),3,Hayır,Kocaeli - Darıca - Bağlarbaşı Mahallesi,2750000,40.7617966,29.3918108
125.0,3+1,2.Kat,1,21 Ve Üzeri,3,Hayır,Kocaeli - Körfez - Mimar Sinan Mahallesi,2545000,40.7659429,29.7570809
94.0,2+1,1.Kat,1,5-10,3,Hayır,Kocaeli - Körfez - Fatih Mahallesi,3000000,40.753727,29.7961611
120.0,2+1,3.Kat,1,2,3,Hayır,Kocaeli - İzmit - Veliahmet Mahallesi,2700000,40.7711951,29.9241801
100.0,3+1,4.Kat,2,5-10,5,Hayır,Kocaeli - Gebze - Barış Mahallesi,4500000,40.77345750000001,29.4498523
125.0,3+1,2.Kat,1,21 Ve Üzeri,4,Hayır,Kocaeli - Körfez - Mimar Sinan Mahallesi,2120000,40.7659429,29.7570809
220.0,4+1,Unknown,2,5-10,2,Evet,Kocaeli - Başiskele - Şehitekrem Mahallesi,12750000,40.670517,29.9220112
60.0,1+1,Yüksek Giriş,1,0 (Yeni),3,Hayır,Kocaeli - Darıca - Bağlarbaşı Mahallesi,2145000,40.7617966,29.3918108
77.0,3+1,Yüksek Giriş,1,11-15,13,Evet,Kocaeli - İzmit - 28 Haziran Mahallesi,1900000,40.7804258,29.9465892
182.0,4+1,6.Kat,2,0 (Yeni),6,Hayır,Kocaeli - İzmit - Çayırköy Mahallesi,6844000,40.800946,29.995282
112.0,3+1,Bahçe Katı,2,0 (Yeni),3,Hayır,Kocaeli - Gölcük - Hisareyn Merkez Mahallesi,3850000,40.683793,29.851405
137.0,4+1,4.Kat,2,2,4,Evet,Kocaeli - Başiskele - Paşadağ Mahallesi,4995000,40.7064933,29.9827252
110.0,3+1,Yüksek Giriş,1,0 (Yeni),4,Hayır,Kocaeli - Kartepe - Dumlupınar Mahallesi,2200000,40.758402,30.0116271
100.0,3+1,2.Kat,2,2,3,Hayır,Kocaeli - Gölcük - Değirmendere Yalı Mahallesi,4250000,40.7188846,29.7780698
107.0,3+1,5.Kat,1,21 Ve Üzeri,5,Hayır,Kocaeli - Gölcük - Dumlupınar Mahallesi,1580000,40.7160544,29.8330601
80.0,2+1,2.Kat,1,16-20,4,Evet,Kocaeli - Gölcük - Düzağaç Mahallesi,1675000,40.6955201,29.8135266
117.0,2+1,1.Kat,2,3,4,Evet,Kocaeli - Kartepe - Emekevler Mahallesi,3600000,40.7387377,30.0723009
85.0,2+1,2.Kat,1,21 Ve Üzeri,6,Hayır,Kocaeli - İzmit - Bekirdere Mahallesi,1630000,40.778778,29.9523716
85.0,2+1,3.Kat,2,0 (Yeni),6,Hayır,Kocaeli - İzmit - Çayırköy Mahallesi,3800000,40.800946,29.995282
75.0,2+1,Unknown,1,1,1,Hayır,Kocaeli - Kandıra - Çamkonak Mahallesi,3100000,41.18400099999999,30.287269
80.0,1+1,Çatı Katı,1,0 (Yeni),4,Evet,Kocaeli - Kartepe - Ataevler Mahallesi,3300000,40.7438656,30.0463012
150.0,3+1,2.Kat,2,5-10,4,Evet,Kocaeli - Başiskele - Paşadağ Mahallesi,3926000,40.7064933,29.9827252
