Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,price
220.0,5+1,3.Kat,1,11-15,3,Evet,3650000
90.0,2+1,3.Kat,2,0 (Yeni),3,Hayır,2250000
120.0,2+2,Unknown,1,21 Ve Üzeri,1,Hayır,2865000
80.0,2+1,Yüksek Giriş,1,5-10,3,Hayır,2300000
38.0,1+1,2.Kat,1,0 (Yeni),3,Hayır,1400000
80.0,2+1,2.Kat,1,0 (Yeni),4,Evet,2300000
140.0,3+1,2.Kat,2,0 (Yeni),3,Hayır,4250000
130.0,2+1,4.Kat,2,0 (Yeni),5,Hayır,2690000
150.0,4+1,1.Kat,2,0 (Yeni),4,Hayır,3900000
112.0,3+1,Düz Giriş (Zemin),2,5-10,5,Evet,3100000
75.0,2+1,3.Kat,1,21 Ve Üzeri,3,Hayır,1435000
125.0,3+1,2.Kat,1,5-10,2,Hayır,2550000
100.0,3+1,1.Kat,1,0 (Yeni),3,Hayır,3250000
80.0,2+1,Yüksek Giriş,1,0 (Yeni),3,Hayır,2250000
90.0,3+1,Düz Giriş (Zemin),1,5-10,4,Hayır,2280000
80.0,2+1,Bahçe Katı,1,5-10,2,Hayır,4300000
125.0,3+1,5.Kat,1,16-20,5,Evet,2050000
112.0,3+1,2.Kat,1,0 (Yeni),3,Hayır,3650000
105.0,3+1,2.Kat,1,0 (Yeni),3,Hayır,2875000
125.0,3+1,Yüksek Giriş,1,0 (Yeni),4,Hayır,2650000
100.0,2+1,Yüksek Giriş,1,3,4,Hayır,2350000
113.0,3+1,Kot 1 (-1).Kat,1,5-10,4,Hayır,2785000
140.0,3+1,Bahçe Dublex,2,4,3,Hayır,5950000
130.0,3+1,Düz Giriş (Zemin),1,5-10,3,Evet,3550000
100.0,2+1,Yüksek Giriş,2,4,3,Hayır,2200000
110.0,3+1,2.Kat,1,21 Ve Üzeri,5,Evet,1650000
160.0,4+1,Çatı Dubleks,1,5-10,2,Hayır,3490000
220.0,3+1,Villa Tipi,2,16-20,2,Hayır,7500000
123.0,3+1,Çatı Dubleks,2,0 (Yeni),3,Hayır,2500000
86.0,2+1,Yüksek Giriş,1,16-20,5,Hayır,1800000
