Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,latitude,longitude,price
115.0,3.0,2.0,1,5.0,3,0.0,40.7010052,29.8554841,2.55
100.0,2.0,1.0,2,0.0,3,0.0,40.7365963,30.0231861,3.1
140.0,3.0,2.0,1,5.0,3,0.0,40.71265229999999,29.9408065,3.95
300.0,6.0,2.0,3,4.0,2,1.0,40.7147344,29.9538172,32.5
120.0,3.0,2.0,2,0.0,3,0.0,40.7548512,30.0361888,2.985
90.0,2.0,2.0,1,16.0,3,0.0,40.6953781,29.8222085,1.645
180.0,5.0,5.0,1,3.0,5,0.0,40.8361956,29.3787483,3.0
80.0,2.0,3.0,1,4.0,3,1.0,40.7438656,30.0463012,2.225
110.0,3.0,2.0,1,5.0,5,0.0,40.7921818,29.436795,2.28
135.0,3.0,3.0,2,0.0,3,0.0,40.7653053,29.7961611,2.825
140.0,3.0,2.0,2,5.0,3,1.0,40.7147344,29.9538172,10.5
179.0,3.0,2.0,1,0.0,3,0.0,40.7604584,29.8091854,3.4
110.0,2.0,3.0,1,11.0,3,1.0,40.77684319999999,29.7512903,2.6
110.0,2.0,4.0,1,4.0,5,0.0,40.71265229999999,29.9408065,2.37
100.0,3.0,2.0,1,0.0,3,0.0,40.7896467,29.3918108,3.45
130.0,3.0,1.0,2,0.0,3,0.0,40.7147344,29.9538172,4.3
155.0,4.0,2.0,2,0.0,2,0.0,40.7365963,30.0231861,7.9
139.0,1.0,2.0,0,16.0,4,0.0,40.8184455,29.4382459,12.0
85.0,2.0,2.0,1,21.0,4,0.0,40.7659429,29.7570809,1.85
77.0,2.0,3.0,1,11.0,6,1.0,40.6726092,29.89019789999999,1.85
125.0,3.0,2.0,1,21.0,3,0.0,40.7659429,29.7570809,3.25
100.0,2.0,2.0,1,4.0,3,0.0,40.7757606,29.7223337,2.25
270.0,5.0,2.0,3,11.0,4,0.0,40.77684319999999,29.7512903,4.945
125.0,3.0,3.0,1,5.0,3,0.0,40.7659429,29.7570809,3.1
